Champion,Ban Ratio,league,area
Tryndamere,?6.38%,All,EUW
Kassadin,?6.37%,All,EUW
Gnar,?6.15%,All,EUW
Warwick,?6.11%,All,EUW
Ornn,?6.04%,All,EUW
Rakan,?5.95%,All,EUW
Syndra,?5.92%,All,EUW
Leona,?5.82%,All,EUW
Morgana,?5.80%,All,EUW
Riven,?5.68%,All,EUW
Veigar,?5.54%,All,EUW
Akali,?5.36%,All,EUW
Teemo,?5.36%,All,EUW
Jayce,?5.33%,All,EUW
Lee Sin,?5.25%,All,EUW
Xin Zhao,?5.21%,All,EUW
Ekko,?4.68%,All,EUW
Brand,?4.62%,All,EUW
Talon,?4.36%,All,EUW
Orianna,?4.26%,All,EUW
LeBlanc,?4.10%,All,EUW
Pantheon,?3.92%,All,EUW
Diana,?3.64%,All,EUW
Ahri,?3.63%,All,EUW
Kalista,?3.60%,All,EUW
Kha'Zix,?3.37%,All,EUW
Illaoi,?3.15%,All,EUW
Annie,?3.04%,All,EUW
Sona,?2.99%,All,EUW
Zac,?2.93%,All,EUW
Maokai,?2.92%,All,EUW
Singed,?2.84%,All,EUW
Garen,?2.77%,All,EUW
Gangplank,?2.58%,All,EUW
Rengar,?2.37%,All,EUW
Renekton,?2.27%,All,EUW
Irelia,?1.98%,All,EUW
Braum,?1.93%,All,EUW
Alistar,?1.82%,All,EUW
Udyr,?1.74%,All,EUW
Anivia,?1.74%,All,EUW
Camille,?1.65%,All,EUW
Cassiopeia,?1.58%,All,EUW
Hecarim,?1.48%,All,EUW
Kled,?1.37%,All,EUW
Shaco,?1.36%,All,EUW
Taric,?1.33%,All,EUW
Aatrox,?1.30%,All,EUW
Lux,?1.23%,All,EUW
Gragas,?1.19%,All,EUW
Miss Fortune,?1.12%,All,EUW
Nidalee,?1.10%,All,EUW
Malphite,?1.04%,All,EUW
Heimerdinger,?1.01%,All,EUW
Zyra,?1.01%,All,EUW
Yorick,?0.98%,All,EUW
Shyvana,?0.96%,All,EUW
Jinx,?0.95%,All,EUW
Elise,?0.93%,All,EUW
Jhin,?0.90%,All,EUW
Kennen,?0.87%,All,EUW
Ryze,?0.86%,All,EUW
Lucian,?0.82%,All,EUW
Vel'Koz,?0.74%,All,EUW
Kayle,?0.71%,All,EUW
Amumu,?0.70%,All,EUW
Tahm Kench,?0.69%,All,EUW
Varus,?0.69%,All,EUW
Dr. Mundo,?0.68%,All,EUW
Wukong,?0.67%,All,EUW
Aurelion Sol,?0.65%,All,EUW
Vi,?0.65%,All,EUW
Corki,?0.58%,All,EUW
Bard,?0.57%,All,EUW
Swain,?0.57%,All,EUW
Shen,?0.55%,All,EUW
Trundle,?0.54%,All,EUW
Karma,?0.53%,All,EUW
Twisted Fate,?0.51%,All,EUW
Fiddlesticks,?0.51%,All,EUW
Ashe,?0.50%,All,EUW
Quinn,?0.42%,All,EUW
Rek'Sai,?0.41%,All,EUW
Nocturne,?0.40%,All,EUW
Xerath,?0.38%,All,EUW
Taliyah,?0.37%,All,EUW
Nami,?0.34%,All,EUW
Mordekaiser,?0.32%,All,EUW
Zilean,?0.30%,All,EUW
Rumble,?0.30%,All,EUW
Sivir,?0.29%,All,EUW
