Champion,Win rate,Games played,KDA,CS,Gold,league,area
Sejuani,?52.70%,"165,120",3.37:1,?116.40,"?10,740",All,KR
Singed,?52.70%,"80,606",2.14:1,?185.37,"?11,346",All,KR
Sion,?52.57%,"45,583",2.53:1,?146.95,"?10,996",All,KR
Jarvan IV,?52.52%,"290,008",3.09:1,?128.31,"?11,192",All,KR
Shyvana,?52.47%,"51,066",2.48:1,?167.95,"?12,068",All,KR
Anivia,?52.36%,"56,428",3.03:1,?188.73,"?12,077",All,KR
Xin Zhao,?52.29%,"87,906",2.08:1,?138.23,"?11,473",All,KR
Leona,?52.27%,"242,055",2.84:1,?46.29,"?9,284",All,KR
Zilean,?52.13%,"48,400",3.18:1,?93.07,"?10,557",All,KR
Twisted Fate,?51.95%,"168,859",2.47:1,?177.29,"?12,372",All,KR
Pantheon,?51.90%,"135,258",2.3:1,?140.21,"?11,476",All,KR
Wukong,?51.89%,"62,998",2.4:1,?146.91,"?11,747",All,KR
Twitch,?51.85%,"225,805",2.57:1,?185.92,"?12,535",All,KR
Kled,?51.84%,"33,817",2.61:1,?168.94,"?11,539",All,KR
Taric,?51.65%,"48,163",3.19:1,?41.03,"?8,898",All,KR
Rammus,?51.63%,"63,153",2.68:1,?116.23,"?10,597",All,KR
Janna,?51.60%,"135,615",3.46:1,?16.73,"?9,418",All,KR
Jax,?51.58%,"183,089",2:01,?158.86,"?11,715",All,KR
Kassadin,?51.46%,"120,421",2.76:1,?170.81,"?11,732",All,KR
Vladimir,?51.43%,"134,686",2.2:1,?192.45,"?11,728",All,KR
Jayce,?51.34%,"151,223",2.33:1,?190.30,"?12,207",All,KR
Xerath,?51.33%,"74,642",2.82:1,?168.65,"?12,049",All,KR
Alistar,?51.33%,"179,392",2.96:1,?42.28,"?8,935",All,KR
Azir,?51.30%,"90,417",2.23:1,?197.92,"?12,273",All,KR
Blitzcrank,?51.24%,"237,493",2.84:1,?41.08,"?9,418",All,KR
Swain,?51.16%,"36,966",2.28:1,?176.45,"?11,497",All,KR
Rek'Sai,?51.14%,"44,296",2.68:1,?123.41,"?11,232",All,KR
Talon,?51.13%,"101,373",2.27:1,?180.83,"?12,572",All,KR
Elise,?51.11%,"104,930",2.51:1,?104.50,"?10,909",All,KR
Maokai,?51.10%,"104,344",2.76:1,?140.31,"?10,457",All,KR
Irelia,?51.09%,"70,884",2.14:1,?189.85,"?11,993",All,KR
Diana,?51.09%,"59,129",2.24:1,?172.94,"?12,181",All,KR
Veigar,?51.04%,"110,622",2.39:1,?149.64,"?11,951",All,KR
Kindred,?50.97%,"34,684",2.17:1,?139.61,"?11,582",All,KR
Draven,?50.95%,"41,690",2.12:1,?191.41,"?12,887",All,KR
Akali,?50.81%,"56,324",2.17:1,?164.96,"?11,826",All,KR
Vayne,?50.79%,"438,939",2.09:1,?197.44,"?12,424",All,KR
Katarina,?50.79%,"108,418",2.26:1,?167.90,"?12,095",All,KR
Brand,?50.76%,"131,213",2.16:1,?77.33,"?11,057",All,KR
Kayle,?50.73%,"46,625",2.01:1,?198.00,"?12,062",All,KR
Tristana,?50.70%,"410,642",2.6:1,?206.51,"?12,504",All,KR
Fiora,?50.69%,"115,078",1.87:1,?195.43,"?11,937",All,KR
Urgot,?50.68%,"33,446",2.21:1,?174.55,"?11,850",All,KR
Teemo,?50.64%,"189,061",1.77:1,?169.79,"?11,901",All,KR
Nasus,?50.52%,"177,115",1.88:1,?193.68,"?11,809",All,KR
Vi,?50.52%,"62,811",2.31:1,?127.43,"?11,278",All,KR
Vel'Koz,?50.51%,"71,859",2.51:1,?107.08,"?11,395",All,KR
Karthus,?50.49%,"32,788",2.27:1,?197.29,"?12,626",All,KR
Garen,?50.46%,"103,610",2.22:1,?179.36,"?11,740",All,KR
Nocturne,?50.46%,"88,670",2.32:1,?155.58,"?12,201",All,KR
Fizz,?50.44%,"133,310",2.45:1,?159.33,"?11,988",All,KR
Sivir,?50.37%,"70,409",2.58:1,?225.54,"?12,755",All,KR
Warwick,?50.35%,"61,613",2.25:1,?126.35,"?11,322",All,KR
Shaco,?50.33%,"44,647",2.4:1,?126.44,"?11,437",All,KR
Yasuo,?50.33%,"264,573",1.68:1,?212.08,"?12,458",All,KR
Kog'Maw,?50.30%,"154,567",2.2:1,?202.16,"?12,581",All,KR
Kha'Zix,?50.29%,"111,811",2.51:1,?125.10,"?11,643",All,KR
Zyra,?50.26%,"64,309",2.26:1,?55.06,"?10,618",All,KR
Ziggs,?50.20%,"42,305",2.42:1,?189.49,"?12,267",All,KR
Quinn,?50.17%,"36,558",2.03:1,?167.25,"?12,124",All,KR
Aurelion Sol,?50.13%,"15,084",2.44:1,?174.70,"?11,659",All,KR
Bard,?50.03%,"56,332",2.82:1,?33.66,"?9,998",All,KR
Nami,?50.01%,"106,636",3.33:1,?14.55,"?9,232",All,KR
Kayn,?50.01%,"138,776",2.21:1,?143.73,"?11,784",All,KR
Heimerdinger,?50.00%,"48,848",1.74:1,?180.72,"?11,727",All,KR
Ezreal,?50.00%,"489,026",2.65:1,?168.40,"?12,240",All,KR
Fiddlesticks,?49.97%,"67,784",2.26:1,?104.52,"?10,803",All,KR
Ekko,?49.94%,"117,626",2.34:1,?167.97,"?11,912",All,KR
Kalista,?49.93%,"103,618",2.3:1,?200.91,"?12,279",All,KR
Ahri,?49.92%,"129,920",2.54:1,?179.67,"?11,855",All,KR
Jinx,?49.84%,"177,835",2.37:1,?207.85,"?12,486",All,KR
Annie,?49.82%,"72,041",2.18:1,?119.72,"?11,217",All,KR
Cho'Gath,?49.79%,"138,514",2.39:1,?159.67,"?11,259",All,KR
Zed,?49.73%,"162,426",2.33:1,?183.86,"?12,475",All,KR
Skarner,?49.71%,"9,161",2.62:1,?120.11,"?10,732",All,KR
Lulu,?49.64%,"264,565",3.06:1,?30.96,"?9,407",All,KR
Kennen,?49.62%,"69,353",2.08:1,?167.82,"?11,362",All,KR
Tryndamere,?49.60%,"45,553",1.78:1,?196.52,"?12,310",All,KR
Miss Fortune,?49.59%,"168,815",2.46:1,?165.33,"?12,030",All,KR
Orianna,?49.57%,"187,236",2.72:1,?195.34,"?11,970",All,KR
Gangplank,?49.57%,"53,274",2.29:1,?207.19,"?13,276",All,KR
Amumu,?49.52%,"67,914",2.67:1,?123.17,"?10,794",All,KR
Varus,?49.47%,"182,520",2.41:1,?205.43,"?12,434",All,KR
Corki,?49.46%,"49,915",2.53:1,?201.41,"?12,514",All,KR
Jhin,?49.45%,"204,982",2.76:1,?191.36,"?12,275",All,KR
Rengar,?49.44%,"70,155",2.08:1,?152.67,"?11,914",All,KR
Ornn,?49.36%,"62,326",2.57:1,?149.45,"?10,775",All,KR
Braum,?49.32%,"59,747",3.04:1,?43.80,"?8,918",All,KR
Illaoi,?49.21%,"39,825",1.54:1,?199.51,"?11,761",All,KR
Camille,?49.16%,"37,577",2.05:1,?158.51,"?11,284",All,KR
Xayah,?49.12%,"220,360",2.44:1,?207.94,"?12,331",All,KR
Udyr,?49.08%,"25,064",2.03:1,?139.28,"?11,312",All,KR
Rumble,?49.06%,"64,441",2.25:1,?169.87,"?11,451",All,KR
Morgana,?49.00%,"121,522",2.83:1,?76.42,"?10,469",All,KR
Master Yi,?48.96%,"184,785",1.84:1,?163.69,"?12,367",All,KR
Aatrox,?48.95%,"18,899",1.91:1,?171.57,"?11,719",All,KR
Dr. Mundo,?48.93%,"56,431",2.28:1,?169.22,"?11,356",All,KR
Olaf,?48.86%,"33,714",2.13:1,?157.95,"?11,366",All,KR
Ashe,?48.77%,"162,545",2.35:1,?190.96,"?12,040",All,KR
Nidalee,?48.75%,"74,466",2.43:1,?135.58,"?11,453",All,KR
Thresh,?48.69%,"284,258",2.9:1,?34.93,"?8,881",All,KR
Lissandra,?48.68%,"28,606",2.26:1,?191.86,"?11,776",All,KR
Evelynn,?48.68%,"86,765",2.44:1,?104.14,"?11,211",All,KR
Rakan,?48.65%,"137,802",2.97:1,?16.13,"?9,312",All,KR
Riven,?48.65%,"107,464",1.96:1,?184.04,"?11,879",All,KR
Hecarim,?48.62%,"49,950",2.59:1,?139.76,"?11,454",All,KR
Trundle,?48.50%,"87,000",2.36:1,?144.10,"?10,895",All,KR
Gnar,?48.40%,"80,117",2.07:1,?175.32,"?11,250",All,KR
LeBlanc,?48.33%,"94,150",2.55:1,?145.77,"?11,358",All,KR
Shen,?48.33%,"134,515",3.08:1,?142.93,"?10,541",All,KR
Mordekaiser,?48.32%,"16,106",1.75:1,?182.59,"?11,441",All,KR
Cassiopeia,?48.25%,"41,377",2.07:1,?186.59,"?11,768",All,KR
Caitlyn,?48.24%,"295,774",2.19:1,?205.94,"?12,203",All,KR
Darius,?48.16%,"144,155",1.86:1,?181.32,"?11,613",All,KR
Renekton,?48.13%,"65,333",2.04:1,?195.74,"?11,614",All,KR
Poppy,?48.04%,"30,378",2.43:1,?132.41,"?10,609",All,KR
Malphite,?47.95%,"161,137",2.53:1,?125.73,"?10,735",All,KR
Lee Sin,?47.79%,"308,734",2.49:1,?113.37,"?10,996",All,KR
Graves,?47.77%,"87,022",2.16:1,?165.12,"?12,075",All,KR
Tahm Kench,?47.76%,"46,370",2.58:1,?82.50,"?9,749",All,KR
Lux,?47.74%,"169,209",2.66:1,?110.15,"?11,100",All,KR
Taliyah,?47.70%,"60,336",2.31:1,?183.60,"?11,826",All,KR
Zac,?47.69%,"60,399",3.35:1,?113.40,"?10,350",All,KR
Viktor,?47.52%,"53,472",2.25:1,?200.14,"?12,171",All,KR
Nautilus,?47.51%,"50,107",2.61:1,?85.94,"?9,656",All,KR
Syndra,?47.19%,"97,940",2.14:1,?195.46,"?12,065",All,KR
Volibear,?47.15%,"24,984",2.4:1,?122.73,"?10,835",All,KR
Karma,?47.01%,"108,373",2.68:1,?65.72,"?9,852",All,KR
Ivern,?46.72%,"8,344",2.97:1,?86.11,"?9,855",All,KR
Lucian,?46.69%,"175,327",2.24:1,?202.99,"?12,355",All,KR
Gragas,?46.48%,"86,063",2.65:1,?115.69,"?10,354",All,KR
Galio,?44.82%,"148,197",2.27:1,?164.01,"?10,990",All,KR
Ryze,?43.80%,"108,232",2.07:1,?194.81,"?11,626",All,KR
Nunu,?40.52%,"23,352",1.96:1,?108.07,"?9,735",All,KR
Yorick,?53.91%,"2,788",1.99:1,?180.20,"?11,905",Brozen,KR
Malzahar,?53.18%,"9,727",2.35:1,?179.03,"?12,347",Brozen,KR
Soraka,?52.24%,"18,587",2.86:1,?20.74,"?9,566",Brozen,KR
Zilean,?52.23%,"3,571",2.83:1,?85.35,"?10,769",Brozen,KR
Jarvan IV,?52.12%,"16,548",2.96:1,?128.71,"?11,511",Brozen,KR
Yasuo,?51.94%,"27,784",1.72:1,?202.81,"?12,792",Brozen,KR
Shyvana,?51.87%,"5,745",2.35:1,?161.90,"?12,100",Brozen,KR
Kled,?51.76%,"2,071",2.52:1,?155.03,"?11,554",Brozen,KR
Sona,?51.75%,"22,242",2.67:1,?25.58,"?9,848",Brozen,KR
Vayne,?51.72%,"41,311",2.04:1,?187.88,"?12,545",Brozen,KR
Leona,?51.64%,"25,405",2.7:1,?45.50,"?9,501",Brozen,KR
Draven,?51.38%,"2,799",2.09:1,?179.31,"?12,961",Brozen,KR
Xin Zhao,?51.32%,"12,551",1.95:1,?132.37,"?11,576",Brozen,KR
Jax,?51.28%,"24,749",1.94:1,?145.59,"?11,846",Brozen,KR
Diana,?51.28%,"6,732",2.19:1,?158.29,"?12,242",Brozen,KR
Blitzcrank,?51.07%,"25,844",2.64:1,?42.97,"?9,592",Brozen,KR
Jayce,?50.99%,"11,449",2.36:1,?175.34,"?12,271",Brozen,KR
Kog'Maw,?50.89%,"9,659",2.11:1,?190.61,"?12,618",Brozen,KR
Singed,?50.87%,"5,213",1.89:1,?174.09,"?11,483",Brozen,KR
Brand,?50.81%,"12,829",2.12:1,?87.71,"?11,325",Brozen,KR
Xerath,?50.74%,"8,417",2.59:1,?153.88,"?11,987",Brozen,KR
Nasus,?50.73%,"23,627",1.88:1,?188.65,"?12,008",Brozen,KR
Taric,?50.73%,"3,956",2.91:1,?42.42,"?9,147",Brozen,KR
Sejuani,?50.71%,"12,893",3.04:1,?115.96,"?10,925",Brozen,KR
Garen,?50.64%,"19,594",2.23:1,?168.69,"?11,767",Brozen,KR
Udyr,?50.59%,"2,797",1.91:1,?139.18,"?11,583",Brozen,KR
Maokai,?50.57%,"8,555",2.65:1,?116.69,"?10,507",Brozen,KR
Teemo,?50.57%,"24,723",1.73:1,?159.76,"?11,985",Brozen,KR
Vladimir,?50.52%,"10,056",2.06:1,?179.35,"?11,764",Brozen,KR
Twisted Fate,?50.50%,"10,803",2.18:1,?162.55,"?12,459",Brozen,KR
Twitch,?50.37%,"19,100",2.37:1,?177.05,"?12,552",Brozen,KR
Kassadin,?50.32%,"7,895",2.56:1,?155.06,"?11,839",Brozen,KR
Wukong,?50.31%,"6,806",2.39:1,?139.85,"?11,865",Brozen,KR
Janna,?50.27%,"7,871",3.11:1,?20.74,"?9,705",Brozen,KR
Irelia,?50.24%,"4,948",2.14:1,?174.96,"?12,066",Brozen,KR
Sion,?50.22%,"3,574",2.32:1,?132.32,"?11,061",Brozen,KR
Pantheon,?50.16%,"15,256",2.22:1,?128.65,"?11,521",Brozen,KR
Azir,?50.09%,"4,552",1.96:1,?183.18,"?12,355",Brozen,KR
Tryndamere,?50.09%,"8,210",1.8:1,?186.70,"?12,474",Brozen,KR
Alistar,?50.07%,"15,564",2.71:1,?43.48,"?9,232",Brozen,KR
Nocturne,?50.06%,"9,978",2.16:1,?152.08,"?12,349",Brozen,KR
Zed,?50.04%,"17,002",2.24:1,?173.08,"?12,616",Brozen,KR
Vi,?50.04%,"6,263",2.18:1,?125.52,"?11,380",Brozen,KR
Veigar,?50.03%,"15,672",2.21:1,?139.42,"?11,970",Brozen,KR
Ziggs,?49.98%,"5,106",2.23:1,?169.41,"?12,129",Brozen,KR
Vel'Koz,?49.97%,"7,473",2.36:1,?109.07,"?11,564",Brozen,KR
Rammus,?49.93%,"6,138",2.41:1,?114.82,"?10,830",Brozen,KR
Tristana,?49.92%,"35,581",2.41:1,?196.56,"?12,521",Brozen,KR
Fiora,?49.92%,"8,876",1.86:1,?180.90,"?12,055",Brozen,KR
Kindred,?49.91%,"2,270",2:01,?140.42,"?11,849",Brozen,KR
Zyra,?49.84%,"5,345",2.15:1,?63.47,"?10,801",Brozen,KR
Swain,?49.68%,"3,299",2.22:1,?161.93,"?11,601",Brozen,KR
Fizz,?49.67%,"15,177",2.39:1,?144.47,"?12,048",Brozen,KR
Quinn,?49.64%,"5,512",1.99:1,?160.23,"?12,234",Brozen,KR
Karthus,?49.55%,"2,773",2.24:1,?175.95,"?12,687",Brozen,KR
Amumu,?49.52%,"9,612",2.55:1,?118.29,"?10,882",Brozen,KR
Annie,?49.50%,"10,217",2.1:1,?112.36,"?11,249",Brozen,KR
Master Yi,?49.45%,"27,702",1.78:1,?160.02,"?12,535",Brozen,KR
Katarina,?49.42%,"12,636",2.12:1,?156.28,"?12,163",Brozen,KR
Illaoi,?49.38%,"5,727",1.55:1,?184.83,"?11,759",Brozen,KR
Sivir,?49.35%,"6,300",2.36:1,?214.56,"?12,732",Brozen,KR
Nami,?49.35%,"8,549",3.1:1,?15.73,"?9,407",Brozen,KR
Heimerdinger,?49.31%,"7,538",1.67:1,?172.16,"?11,784",Brozen,KR
Akali,?49.27%,"7,030",2.11:1,?148.13,"?11,889",Brozen,KR
Warwick,?49.23%,"9,664",2.13:1,?124.06,"?11,553",Brozen,KR
Fiddlesticks,?49.13%,"6,945",2.1:1,?105.78,"?11,075",Brozen,KR
Ahri,?49.10%,"13,664",2.37:1,?163.47,"?11,806",Brozen,KR
Kayle,?49.04%,"5,528",1.99:1,?182.15,"?12,031",Brozen,KR
Ezreal,?49.03%,"45,496",2.59:1,?167.96,"?12,285",Brozen,KR
Kayn,?48.99%,"11,494",2.09:1,?142.18,"?11,980",Brozen,KR
Talon,?48.96%,"12,911",2.11:1,?164.83,"?12,441",Brozen,KR
Urgot,?48.88%,"3,298",2.08:1,?163.72,"?11,908",Brozen,KR
Jinx,?48.83%,"22,479",2.22:1,?196.16,"?12,393",Brozen,KR
Kennen,?48.81%,"5,792",1.99:1,?151.53,"?11,312",Brozen,KR
Ekko,?48.74%,"11,687",2.17:1,?156.77,"?11,922",Brozen,KR
Morgana,?48.73%,"15,116",2.59:1,?75.83,"?10,689",Brozen,KR
Rek'Sai,?48.68%,"2,319",2.28:1,?118.61,"?11,290",Brozen,KR
Rakan,?48.60%,"10,149",2.73:1,?17.89,"?9,604",Brozen,KR
Jhin,?48.57%,"16,666",2.55:1,?179.64,"?12,264",Brozen,KR
Dr. Mundo,?48.54%,"8,115",2.2:1,?158.20,"?11,405",Brozen,KR
Elise,?48.51%,"4,743",2.23:1,?105.06,"?11,056",Brozen,KR
Cho'Gath,?48.51%,"15,637",2.22:1,?147.14,"?11,382",Brozen,KR
Braum,?48.44%,"5,977",2.8:1,?43.90,"?9,182",Brozen,KR
Rumble,?48.43%,"4,724",2.1:1,?156.48,"?11,554",Brozen,KR
Orianna,?48.39%,"13,339",2.5:1,?177.62,"?11,867",Brozen,KR
Miss Fortune,?48.37%,"25,817",2.32:1,?164.07,"?12,057",Brozen,KR
Shaco,?48.24%,"4,349",2.26:1,?119.54,"?11,420",Brozen,KR
Ashe,?48.21%,"23,368",2.22:1,?179.30,"?12,040",Brozen,KR
Shen,?48.17%,"11,483",2.94:1,?123.77,"?10,546",Brozen,KR
Varus,?48.09%,"14,341",2.26:1,?195.40,"?12,479",Brozen,KR
Kha'Zix,?48.07%,"8,921",2.31:1,?125.12,"?11,861",Brozen,KR
Malphite,?48.05%,"29,013",2.5:1,?105.43,"?10,645",Brozen,KR
Gangplank,?48.00%,"2,969",2.18:1,?188.15,"?12,979",Brozen,KR
Lissandra,?47.97%,"2,045",2.1:1,?172.62,"?11,669",Brozen,KR
Skarner,?47.94%,824,2.25:1,?117.88,"?10,832",Brozen,KR
Kalista,?47.93%,"5,802",2.09:1,?189.72,"?12,291",Brozen,KR
Thresh,?47.90%,"21,257",2.63:1,?35.19,"?9,120",Brozen,KR
Lulu,?47.90%,"20,165",2.6:1,?40.85,"?9,690",Brozen,KR
Lux,?47.88%,"28,003",2.51:1,?98.09,"?11,080",Brozen,KR
Gnar,?47.80%,"6,682",1.99:1,?158.73,"?11,177",Brozen,KR
Volibear,?47.76%,"4,858",2.29:1,?118.95,"?10,962",Brozen,KR
Graves,?47.73%,"6,866",2.03:1,?166.60,"?12,324",Brozen,KR
Aurelion Sol,?47.73%,"1,100",2.03:1,?156.01,"?11,346",Brozen,KR
Corki,?47.70%,"3,593",2.32:1,?185.06,"?12,413",Brozen,KR
Cassiopeia,?47.64%,"3,256",1.98:1,?170.28,"?11,799",Brozen,KR
Poppy,?47.64%,"3,069",2.29:1,?124.96,"?10,704",Brozen,KR
Xayah,?47.58%,"15,253",2.19:1,?197.23,"?12,308",Brozen,KR
Caitlyn,?47.54%,"30,507",2.07:1,?193.82,"?12,139",Brozen,KR
Darius,?47.47%,"17,073",1.83:1,?167.05,"?11,583",Brozen,KR
Aatrox,?47.45%,"2,310",1.75:1,?155.69,"?11,624",Brozen,KR
Viktor,?47.43%,"3,557",2.15:1,?185.81,"?12,275",Brozen,KR
Lee Sin,?47.38%,"23,254",2.29:1,?113.62,"?11,255",Brozen,KR
Lucian,?47.37%,"16,510",2.18:1,?194.61,"?12,449",Brozen,KR
Riven,?47.29%,"13,301",1.9:1,?170.60,"?11,863",Brozen,KR
Camille,?47.29%,"2,292",1.94:1,?142.46,"?11,228",Brozen,KR
Nautilus,?47.22%,"5,758",2.52:1,?75.89,"?9,808",Brozen,KR
LeBlanc,?47.21%,"7,917",2.38:1,?130.94,"?11,367",Brozen,KR
Renekton,?47.20%,"6,133",1.96:1,?180.20,"?11,590",Brozen,KR
Hecarim,?47.20%,"3,934",2.4:1,?134.40,"?11,597",Brozen,KR
Ornn,?47.13%,"4,377",2.39:1,?128.07,"?10,821",Brozen,KR
Trundle,?47.03%,"11,003",2.23:1,?133.59,"?10,973",Brozen,KR
Rengar,?46.62%,"5,806",1.9:1,?149.34,"?12,038",Brozen,KR
Gragas,?46.31%,"6,359",2.35:1,?112.56,"?10,527",Brozen,KR
Bard,?46.11%,"3,500",2.46:1,?44.62,"?10,260",Brozen,KR
Evelynn,?46.06%,"9,070",2.19:1,?100.95,"?11,283",Brozen,KR
Olaf,?46.05%,"3,891",1.94:1,?147.02,"?11,298",Brozen,KR
Karma,?46.04%,"8,941",2.4:1,?64.25,"?10,029",Brozen,KR
Tahm Kench,?45.89%,"5,208",2.32:1,?77.36,"?9,880",Brozen,KR
Zac,?45.82%,"5,011",3.04:1,?109.96,"?10,483",Brozen,KR
Taliyah,?45.74%,"3,072",2.02:1,?163.59,"?11,637",Brozen,KR
Anivia,?45.47%,"3,822",2.72:1,?157.06,"?11,597",Brozen,KR
Syndra,?45.38%,"7,829",1.97:1,?179.98,"?12,021",Brozen,KR
Galio,?44.99%,"16,647",2.15:1,?149.74,"?11,022",Brozen,KR
Nidalee,?44.57%,"5,972",2.09:1,?120.42,"?11,152",Brozen,KR
Mordekaiser,?44.39%,"1,453",1.53:1,?163.37,"?11,373",Brozen,KR
Ryze,?43.86%,"8,938",1.95:1,?179.35,"?11,633",Brozen,KR
Ivern,?41.76%,637,2.35:1,?79.03,"?9,664",Brozen,KR
Nunu,?35.64%,"3,328",1.68:1,?107.43,"?9,822",Brozen,KR
Malzahar,?54.29%,"53,308",2.45:1,?190.44,"?12,261",Silver,KR
Soraka,?53.19%,"91,081",3.02:1,?18.35,"?9,386",Silver,KR
Sona,?52.67%,"70,359",2.76:1,?23.51,"?9,713",Silver,KR
Jarvan IV,?52.54%,"99,462",3.06:1,?128.69,"?11,360",Silver,KR
Anivia,?52.51%,"18,357",2.99:1,?183.63,"?12,217",Silver,KR
Sejuani,?52.44%,"65,876",3.31:1,?116.88,"?10,851",Silver,KR
Sion,?52.37%,"15,430",2.48:1,?144.95,"?11,169",Silver,KR
Yorick,?52.33%,"10,081",1.99:1,?186.86,"?11,754",Silver,KR
Singed,?52.32%,"27,440",2.08:1,?185.09,"?11,537",Silver,KR
Shyvana,?52.14%,"21,272",2.46:1,?167.15,"?12,139",Silver,KR
Xin Zhao,?52.01%,"38,126",2.08:1,?137.75,"?11,544",Silver,KR
Taric,?51.91%,"17,288",3.15:1,?41.03,"?9,010",Silver,KR
Leona,?51.81%,"102,540",2.82:1,?46.53,"?9,378",Silver,KR
Wukong,?51.70%,"27,026",2.41:1,?145.66,"?11,787",Silver,KR
Twitch,?51.63%,"88,681",2.54:1,?184.61,"?12,646",Silver,KR
Zilean,?51.51%,"17,304",3.07:1,?93.60,"?10,702",Silver,KR
Twisted Fate,?51.45%,"59,507",2.37:1,?173.27,"?12,453",Silver,KR
Blitzcrank,?51.42%,"100,165",2.81:1,?41.84,"?9,534",Silver,KR
Janna,?51.39%,"48,219",3.35:1,?17.02,"?9,569",Silver,KR
Swain,?51.38%,"15,135",2.27:1,?174.37,"?11,600",Silver,KR
Pantheon,?51.33%,"57,342",2.3:1,?138.89,"?11,544",Silver,KR
Rammus,?51.29%,"25,623",2.64:1,?116.63,"?10,713",Silver,KR
Jax,?51.26%,"76,542",2:01,?155.23,"?11,788",Silver,KR
Kassadin,?51.25%,"42,820",2.7:1,?166.93,"?11,836",Silver,KR
Jayce,?51.24%,"52,219",2.34:1,?188.43,"?12,343",Silver,KR
Vladimir,?51.22%,"49,312",2.16:1,?190.81,"?11,828",Silver,KR
Diana,?51.11%,"25,541",2.24:1,?171.05,"?12,270",Silver,KR
Brand,?51.09%,"55,813",2.17:1,?81.09,"?11,201",Silver,KR
Nasus,?50.99%,"81,461",1.89:1,?194.43,"?11,916",Silver,KR
Xerath,?50.93%,"30,647",2.76:1,?165.50,"?12,070",Silver,KR
Draven,?50.93%,"15,086",2.09:1,?191.16,"?13,030",Silver,KR
Vayne,?50.88%,"180,713",2.08:1,?197.18,"?12,518",Silver,KR
Talon,?50.87%,"41,137",2.26:1,?179.35,"?12,664",Silver,KR
Tristana,?50.83%,"160,184",2.58:1,?206.63,"?12,606",Silver,KR
Urgot,?50.82%,"13,449",2.21:1,?174.06,"?11,956",Silver,KR
Garen,?50.81%,"50,144",2.24:1,?180.38,"?11,813",Silver,KR
Maokai,?50.78%,"38,878",2.74:1,?135.23,"?10,537",Silver,KR
Alistar,?50.77%,"70,523",2.91:1,?43.24,"?9,077",Silver,KR
Fiora,?50.74%,"41,440",1.89:1,?193.32,"?12,038",Silver,KR
Teemo,?50.71%,"81,396",1.75:1,?170.09,"?12,007",Silver,KR
Yasuo,?50.71%,"100,152",1.69:1,?210.91,"?12,584",Silver,KR
Irelia,?50.66%,"26,189",2.14:1,?187.87,"?12,114",Silver,KR
Vi,?50.65%,"26,934",2.3:1,?127.26,"?11,343",Silver,KR
Veigar,?50.56%,"47,953",2.34:1,?147.75,"?12,008",Silver,KR
Nocturne,?50.52%,"39,834",2.32:1,?155.71,"?12,280",Silver,KR
Azir,?50.50%,"28,747",2.15:1,?194.44,"?12,373",Silver,KR
Sivir,?50.50%,"28,048",2.57:1,?225.35,"?12,813",Silver,KR
Kayle,?50.47%,"18,215",2:01,?195.35,"?12,132",Silver,KR
Elise,?50.47%,"30,579",2.43:1,?106.30,"?11,081",Silver,KR
Kog'Maw,?50.41%,"54,296",2.18:1,?201.62,"?12,729",Silver,KR
Kled,?50.36%,"10,299",2.55:1,?165.43,"?11,636",Silver,KR
Nami,?50.33%,"41,838",3.28:1,?15.00,"?9,335",Silver,KR
Fizz,?50.31%,"56,380",2.45:1,?156.61,"?12,057",Silver,KR
Shaco,?50.30%,"17,282",2.37:1,?125.43,"?11,510",Silver,KR
Karthus,?50.26%,"11,641",2.27:1,?194.23,"?12,717",Silver,KR
Akali,?50.24%,"23,357",2.16:1,?162.21,"?11,919",Silver,KR
Kindred,?50.23%,"11,302",2.11:1,?139.07,"?11,671",Silver,KR
Vel'Koz,?50.17%,"29,148",2.47:1,?107.45,"?11,487",Silver,KR
Zyra,?50.05%,"26,603",2.23:1,?56.95,"?10,717",Silver,KR
Kha'Zix,?49.99%,"39,236",2.47:1,?126.81,"?11,808",Silver,KR
Warwick,?49.95%,"26,112",2.23:1,?126.03,"?11,372",Silver,KR
Katarina,?49.90%,"43,234",2.22:1,?166.22,"?12,165",Silver,KR
Corki,?49.89%,"17,520",2.54:1,?199.25,"?12,635",Silver,KR
Ekko,?49.88%,"45,198",2.32:1,?166.31,"?11,978",Silver,KR
Fiddlesticks,?49.84%,"27,342",2.23:1,?104.35,"?10,910",Silver,KR
Kayn,?49.83%,"53,129",2.19:1,?143.37,"?11,873",Silver,KR
Jinx,?49.79%,"78,105",2.35:1,?207.56,"?12,528",Silver,KR
Tryndamere,?49.79%,"20,484",1.79:1,?195.98,"?12,417",Silver,KR
Heimerdinger,?49.77%,"20,370",1.7:1,?180.79,"?11,820",Silver,KR
Rek'Sai,?49.77%,"12,663",2.54:1,?123.42,"?11,364",Silver,KR
Ahri,?49.73%,"53,544",2.51:1,?176.97,"?11,893",Silver,KR
Ezreal,?49.67%,"198,596",2.65:1,?170.84,"?12,322",Silver,KR
Aurelion Sol,?49.66%,"5,030",2.31:1,?169.48,"?11,661",Silver,KR
Miss Fortune,?49.64%,"71,967",2.45:1,?168.00,"?12,130",Silver,KR
Kalista,?49.59%,"31,842",2.27:1,?200.15,"?12,446",Silver,KR
Quinn,?49.57%,"15,651",2:01,?166.50,"?12,175",Silver,KR
Jhin,?49.55%,"75,997",2.73:1,?190.21,"?12,376",Silver,KR
